conversation_id,date,agent,shift,channel,customer_message,csat_score,resolved,wait_time_mins,handle_time_mins
CONV_1232,2024-02-17,Agent_Dev,Afternoon,Email,Billing amount is wrong again. This is the third time this month!,2,True,26,13
CONV_1233,2024-03-04,Agent_Dev,Afternoon,Email,Your agent was incredibly empathetic and helpful. Excellent service.,5,True,53,5
CONV_1234,2024-02-24,Agent_Priya,Afternoon,Email,Your team helped me file a complex claim with ease. Really grateful.,4,True,36,12
CONV_1235,2024-01-14,Agent_Priya,Afternoon,Email,New app update is great. So much easier to navigate now.,5,True,21,17
CONV_1236,2024-02-24,Agent_Rahul,Night,Chat,Refund was processed quickly. Very satisfied with how it was handled.,5,True,30,4
CONV_1237,2024-02-15,Agent_Meena,Afternoon,Chat,Your team helped me file a complex claim with ease. Really grateful.,4,True,6,24
CONV_1238,2024-02-21,Agent_Sara,Night,Email,Password reset email never arrived. Been trying for hours.,1,True,11,30
CONV_1239,2024-03-27,Agent_Dev,Morning,Phone,Refund was processed quickly. Very satisfied with how it was handled.,4,True,17,27
CONV_1240,2024-02-16,Agent_Sara,Afternoon,Email,Password reset email never arrived. Been trying for hours.,1,True,45,17
CONV_1241,2024-02-17,Agent_Dev,Morning,Email,My claim has been pending 2 months. I need answers or I will escalate.,1,True,27,13
CONV_1242,2024-02-05,Agent_Rahul,Morning,Phone,Password reset email never arrived. Been trying for hours.,1,True,26,20
CONV_1243,2024-02-03,Agent_Sara,Night,Chat,Billing amount is wrong again. This is the third time this month!,1,True,20,25
CONV_1244,2024-01-26,Agent_Priya,Morning,Phone,Charged twice. Please refund the duplicate charge immediately.,2,False,47,17
CONV_1245,2024-03-28,Agent_Sara,Night,Chat,My account got locked and I can't login. Need this fixed urgently.,1,True,20,12
CONV_1246,2024-03-30,Agent_Rahul,Afternoon,Email,Your agent was incredibly empathetic and helpful. Excellent service.,4,True,9,9
CONV_1247,2024-01-31,Agent_Dev,Morning,Chat,Just checking when my claim will be processed. No urgency.,3,True,37,7
CONV_1248,2024-01-12,Agent_Priya,Afternoon,Chat,Refund was processed quickly. Very satisfied with how it was handled.,5,True,35,16
CONV_1249,2024-02-22,Agent_Meena,Morning,Phone,Waiting time on calls is too long. Waited 45 minutes today.,2,True,30,17
CONV_1250,2024-03-07,Agent_Sara,Morning,Email,Reasonable service. Nothing outstanding but got the job done.,2,True,10,16
CONV_1251,2024-01-08,Agent_Priya,Night,Phone,Can you help me update my address? No rush at all.,3,False,22,25
CONV_1252,2024-02-14,Agent_Meena,Afternoon,Phone,Confused about the charges on my last invoice. Can someone explain?,3,False,37,11
CONV_1253,2024-03-21,Agent_Sara,Night,Email,Just checking when my claim will be processed. No urgency.,2,True,12,21
CONV_1254,2024-01-20,Agent_Rahul,Night,Email,I need to speak to a supervisor right now. This has gone too far.,2,True,38,4
CONV_1255,2024-01-11,Agent_Priya,Night,Email,I've been waiting 3 weeks for my refund! Nobody answers calls.,2,True,51,21
CONV_1256,2024-03-20,Agent_Priya,Afternoon,Email,Your chatbot is useless. I need a real person right now.,2,True,21,18
CONV_1257,2024-03-28,Agent_Dev,Afternoon,Chat,Confused about the charges on my last invoice. Can someone explain?,2,True,12,17
CONV_1258,2024-03-02,Agent_Dev,Morning,Chat,Your chatbot is useless. I need a real person right now.,1,False,47,13
CONV_1259,2024-02-14,Agent_Dev,Morning,Chat,Your team helped me file a complex claim with ease. Really grateful.,4,True,22,10
CONV_1260,2024-01-16,Agent_Sara,Afternoon,Phone,Submitted claim 3 days ago and already got it resolved. Super fast!,4,True,8,4
CONV_1261,2024-02-19,Agent_Meena,Afternoon,Phone,Called 5 times about the same issue. I am done waiting.,1,True,38,26
CONV_1262,2024-01-25,Agent_Rahul,Afternoon,Email,New app update is great. So much easier to navigate now.,5,True,33,12
CONV_1263,2024-01-03,Agent_Priya,Afternoon,Email,Charged twice. Please refund the duplicate charge immediately.,2,True,15,21
CONV_1264,2024-01-07,Agent_Priya,Afternoon,Chat,My claim has been pending 2 months. I need answers or I will escalate.,2,False,2,30
CONV_1265,2024-02-25,Agent_Rahul,Afternoon,Email,Billing amount is wrong again. This is the third time this month!,2,True,25,4
CONV_1266,2024-01-07,Agent_Meena,Night,Phone,I want to cancel my subscription. Service quality has gone down.,2,True,6,15
CONV_1267,2024-02-27,Agent_Meena,Afternoon,Email,Can you help me update my address? No rush at all.,2,False,8,15
CONV_1268,2024-02-13,Agent_Meena,Afternoon,Phone,My claim has been pending 2 months. I need answers or I will escalate.,1,True,27,19
CONV_1269,2024-01-06,Agent_Priya,Morning,Email,Thank you so much! Issue resolved in minutes. Really impressed.,5,True,53,18
CONV_1270,2024-02-28,Agent_Rahul,Night,Email,Can you help me update my address? No rush at all.,2,False,41,13
CONV_1271,2024-02-20,Agent_Meena,Night,Chat,Your agent was incredibly empathetic and helpful. Excellent service.,5,True,34,29
CONV_1272,2024-03-09,Agent_Dev,Night,Email,Can you help me update my address? No rush at all.,3,True,3,14
CONV_1273,2024-03-27,Agent_Priya,Afternoon,Email,New app update is great. So much easier to navigate now.,5,True,52,26
CONV_1274,2024-03-21,Agent_Priya,Night,Chat,I'm extremely disappointed. This is my last time using your services.,2,True,52,27
CONV_1275,2024-03-14,Agent_Rahul,Night,Phone,I need to speak to a supervisor right now. This has gone too far.,2,False,42,26
CONV_1276,2024-02-18,Agent_Rahul,Night,Phone,Refund was processed quickly. Very satisfied with how it was handled.,4,True,38,25
CONV_1277,2024-01-25,Agent_Priya,Afternoon,Chat,Billing amount is wrong again. This is the third time this month!,2,False,46,9
CONV_1278,2024-03-05,Agent_Meena,Afternoon,Email,Your chatbot is useless. I need a real person right now.,1,True,35,9
CONV_1279,2024-02-11,Agent_Dev,Night,Chat,Refund process is confusing. Don't know what documents to submit.,3,True,31,20
CONV_1280,2024-03-10,Agent_Sara,Night,Email,New app update is great. So much easier to navigate now.,5,True,41,18
CONV_1281,2024-02-01,Agent_Sara,Night,Chat,The portal keeps loading but nothing happens. Very frustrating.,1,True,21,27
CONV_1282,2024-01-27,Agent_Dev,Afternoon,Chat,Called 5 times about the same issue. I am done waiting.,2,True,52,26
CONV_1283,2024-02-06,Agent_Priya,Night,Email,Everything is working perfectly! I love using your platform.,5,True,59,15
CONV_1284,2024-01-19,Agent_Sara,Morning,Chat,My claim has been pending 2 months. I need answers or I will escalate.,1,False,30,23
CONV_1285,2024-03-02,Agent_Rahul,Morning,Email,Everything is working perfectly! I love using your platform.,5,True,37,25
CONV_1286,2024-01-18,Agent_Priya,Night,Email,Everything is working perfectly! I love using your platform.,4,True,17,4
CONV_1287,2024-03-08,Agent_Rahul,Night,Phone,Reasonable service. Nothing outstanding but got the job done.,2,False,23,25
CONV_1288,2024-01-13,Agent_Rahul,Morning,Email,Charged twice. Please refund the duplicate charge immediately.,1,True,58,18
CONV_1289,2024-03-24,Agent_Rahul,Afternoon,Chat,Charged twice. Please refund the duplicate charge immediately.,2,True,60,27
CONV_1290,2024-03-24,Agent_Meena,Morning,Email,My account got locked and I can't login. Need this fixed urgently.,1,True,13,16
CONV_1291,2024-01-05,Agent_Dev,Afternoon,Phone,Your agent was incredibly empathetic and helpful. Excellent service.,5,True,58,4
CONV_1292,2024-02-08,Agent_Meena,Night,Phone,I've been waiting 3 weeks for my refund! Nobody answers calls.,2,False,43,20
CONV_1293,2024-03-04,Agent_Rahul,Night,Chat,Can you help me update my address? No rush at all.,3,False,9,13
CONV_1294,2024-02-28,Agent_Sara,Night,Phone,Your agent was incredibly empathetic and helpful. Excellent service.,4,True,49,13
CONV_1295,2024-03-13,Agent_Rahul,Morning,Email,Called 5 times about the same issue. I am done waiting.,2,True,34,13
CONV_1296,2024-02-21,Agent_Priya,Morning,Phone,My account got locked and I can't login. Need this fixed urgently.,2,False,17,3
CONV_1297,2024-02-19,Agent_Rahul,Afternoon,Chat,Everything is working perfectly! I love using your platform.,5,True,21,21
CONV_1298,2024-03-14,Agent_Priya,Afternoon,Email,Your team helped me file a complex claim with ease. Really grateful.,5,True,46,10
CONV_1299,2024-03-26,Agent_Priya,Afternoon,Chat,Thank you so much! Issue resolved in minutes. Really impressed.,4,True,27,24
